name,state,congress,start_date,end_date
"Leigh, Benjamin W.",VA,THIRD Congress,1833-12-07,
"Buchanan, James",PA,THIRD Congress,1834-12-06,
"Cuthbert, Alfred",GA,THIRD Congress,1835-01-12,
"Goldsborough, Robert H.",MD,THIRD Congress,1835-01-13,
"Ruggles, John",ME,THIRD Congress,1835-01-20,
"Crittenden, John J.",KY,FOURTH Congress,1835-03-04,
"Davis, John",MA,FOURTH Congress,1835-03-04,
"Hubbard, Henry",NH,FOURTH Congress,1835-03-04,
"Walker, Robert J.",MS,FOURTH Congress,1835-03-04,
"Wall, Garret D.",NJ,FOURTH Congress,1835-03-04,
"Nicholas, Robert C.",LA,FOURTH Congress,1836-01-13,
"Rives, William C.",VA,FOURTH Congress,1836-03-04,
"Page, John",NH,FOURTH Congress,1836-06-08,
"Bayard, Richard H.",DE,FOURTH Congress,1836-06-17,
"Sevier, Ambrose H.",AR,FOURTH Congress,1836-06-17,
"Strange, Robert",NC,FOURTH Congress,1836-12-05,
"Dana, Judah",ME,FOURTH Congress,1836-12-07,
"Clayton, Thomas",DE,FOURTH Congress,1837-01-09,
