name,state,congress,start_date,end_date
"Lowrie, Walter",PA,SIXTEENTH Congress,1819-03-04,
"Parrott, John F.",NH,SIXTEENTH Congress,1819-03-04,
"Trimble, William A.",OH,SIXTEENTH Congress,1819-03-04,
"Pleasants, James",VA,SIXTEENTH Congress,1819-03-04,
"Walker, John W.",AL,SIXTEENTH Congress,1819-03-04,
"Lloyd, Edward",MD,SIXTEENTH Congress,1819-03-04,
"Mills, Elijah H.",MA,SIXTEENTH Congress,1820-06-12,
"Holmes, John",ME,SIXTEENTH Congress,1820-06-13,
"Chandler, John",ME,SIXTEENTH Congress,1820-06-14,
"Holmes, David",MS,SIXTEENTH Congress,1820-08-30,
"Talbot, Isham",KY,SIXTEENTH Congress,1820-10-19,
"Knight, Nehemiah R.",RI,SIXTEENTH Congress,1821-01-09,
"Southard, Samuel L.",NJ,SIXTEENTH Congress,1821-01-26,
"Boardman, Elijah",CT,SEVENTEENTH Congress,1821-03-04,
"De Wolf, James",RI,SEVENTEENTH Congress,1821-03-04,
"Seymour, Horatio",VT,SEVENTEENTH Congress,1821-03-04,"1833-03-3,"
"Van Buren, Martin",NY,SEVENTEENTH Congress,1821-03-04,
"Barton, David",MO,SEVENTEENTH Congress,1821-08-10,
"Benton, Thomas Hart",MO,SEVENTEENTH Congress,1821-08-10,
"Brown, Ethan Allen",OH,SEVENTEENTH Congress,1822-01-03,
"Rodney, Caesar A.",DE,SEVENTEENTH Congress,1822-01-24,
"Lloyd, James",MA,SEVENTEENTH Congress,1822-06-05,
"Bell, Samuel",NH,EIGHTEENTH Congress,1823-03-04,
"Branch, John",NC,EIGHTEENTH Congress,1823-03-04,
"Hayne, Robert Young",SC,EIGHTEENTH Congress,1823-03-04,
"Jackson, Andrew",TN,EIGHTEENTH Congress,1823-03-04,
"Edwards, Henry W.",CT,EIGHTEENTH Congress,1823-10-08,
"Clayton, Thomas",DE,EIGHTEENTH Congress,1824-01-08,
"Johnston, Josiah S.",LA,EIGHTEENTH Congress,1824-01-15,
"Tazewell, Littleton W.",VA,EIGHTEENTH Congress,1824-12-07,
"Berrien, John Macpherson",GA,NINETEENTH Congress,1825-03-04,
"Chambers, Henry H.",AL,NINETEENTH Congress,1825-03-04,
"Chase, Dudley",VT,NINETEENTH Congress,1825-03-04,
"Harrison, William H.",OH,NINETEENTH Congress,1825-03-04,
"Hendricks, William",IN,NINETEENTH Congress,1825-03-04,
"Kane, Elias K.",IL,NINETEENTH Congress,1825-03-04,
"Marks, William",PA,NINETEENTH Congress,1825-03-04,
"Rowan, John",KY,NINETEENTH Congress,1825-03-04,
"Willey, Calvin",CT,NINETEENTH Congress,1825-05-04,
"Woodbury, Levi",NH,NINETEENTH Congress,1825-06-16,
"White, Hugh Lawson",TN,NINETEENTH Congress,1825-10-28,
"Robbins, Asher",RI,NINETEENTH Congress,1825-10-31,
"Randolph, John",VA,NINETEENTH Congress,1825-12-09,
"Sanford, Nathan",NY,NINETEENTH Congress,1826-01-14,
"Chambers, Ezekiel F.",MD,NINETEENTH Congress,1826-01-24,
"Reed, Thomas B.",MS,NINETEENTH Congress,1826-01-28,
"Pickens, Israel",AL,NINETEENTH Congress,1826-02-17,
"Harper, William",SC,NINETEENTH Congress,1826-03-08,
"Silsbee, Nathaniel",MA,NINETEENTH Congress,1826-05-31,
"Ridgely, Henry M.",DE,NINETEENTH Congress,1827-01-12,
"Barnard, Isaac D.",PA,TWENTIETH Congress,1827-03-04,
"Ellis, Powhatan",MS,TWENTIETH Congress,1827-03-04,
"Foot, Samuel A.",CT,TWENTIETH Congress,1827-03-04,
"McLane, Louis",DE,TWENTIETH Congress,1827-03-04,
"Parris, Albion K.",ME,TWENTIETH Congress,1827-03-04,
"Tyler, John",VA,TWENTIETH Congress,1827-03-04,
"Dudley, Charles E.",NY,TWENTIETH Congress,1829-01-15,
"Holmes, John",ME,TWENTIETH Congress,1829-01-15,
"Dickerson, Mahlon",NJ,TWENTIETH Congress,1829-01-30,
"Bibb, George M.",KY,FIRST Congress,1829-03-04,
"Clayton, John M.",DE,FIRST Congress,1829-03-04,
"Frelinghuysen, Theodore",NJ,FIRST Congress,1829-03-04,
"Livingston, Edward",LA,FIRST Congress,1829-03-04,
"McLean, John",IL,FIRST Congress,1829-03-04,
"Reed, Thomas B.",MS,FIRST Congress,1829-03-04,
"Sprague, Peleg",ME,FIRST Congress,1829-03-04,
"Troup, George M.",GA,FIRST Congress,1829-03-04,
"Grundy, Felix",TN,FIRST Congress,1829-10-19,
"Brown, Bedford",NC,FIRST Congress,1829-12-09,
"Adams, Robert H.",MS,FIRST Congress,1830-01-06,
"Naudain, Arnold",DE,FIRST Congress,1830-01-07,
"Poindexter, George",MS,FIRST Congress,1830-10-15,
"Buckner, Alexander",MO,SECOND Congress,1831-03-04,
"Ewing, Thomas",OH,SECOND Congress,1831-03-04,
"Hill, Isaac",NH,SECOND Congress,1831-03-04,
"Mangum, Willie P.",NC,SECOND Congress,1831-03-04,
"Marcy, William L.",NY,SECOND Congress,1831-03-04,
"Miller, Stephen D.",SC,SECOND Congress,1831-03-04,
"Moore, Gabriel",AL,SECOND Congress,1831-03-04,
"Prentiss, Samuel",VT,SECOND Congress,1831-03-04,
"Tomlinson, Gideon",CT,SECOND Congress,1831-03-04,
"Wilkins, William",PA,SECOND Congress,1831-03-04,
"Hanna, Robert",IN,SECOND Congress,1831-08-19,
"Tipton, John",IN,SECOND Congress,1832-01-03,
"Wright, Silas, Jr.",NY,SECOND Congress,1833-01-04,
"Kent, Joseph",MD,THIRD Congress,1833-03-04,
"Morris, Thomas",OH,THIRD Congress,1833-03-04,
"Shepley, Ether",ME,THIRD Congress,1833-03-04,
"Smith, Nathan",CT,THIRD Congress,1833-03-04,
"Southard, Samuel L.",NJ,THIRD Congress,1833-03-04,
"Swift, Benjamin",VT,THIRD Congress,1833-03-04,
"Tallmadge, Nathaniel P.",NY,THIRD Congress,1833-03-04,
"Linn, Lewis F.",MO,THIRD Congress,1833-10-25,
"McKean, Samuel",PA,THIRD Congress,1833-12-07,
